"Year","Total_Generation","Coal_Share","Gas_Share","Nuclear_Share","Renewables_Share"
2001,3736645,50.953596073483,17.1043543071392,20.575275414175,1.89386468342591
2002,3858452,50.1012063905421,17.9088401255218,20.217019675248,2.05030411159709
2003,3883186,50.8277481428909,16.7364633061615,19.667716148544,2.0469789497593
2004,3970555,49.82424371404,17.8841748823527,19.8593647487568,2.09210047461879
2005,4055422,49.634144116198,18.7640151875686,19.2825062348629,2.15341338090093
2006,4064703,48.9706381991501,20.0861415950932,19.3671714759971,2.37471224834877
2007,4156744,48.5104447134584,21.5695505905584,19.4004249479881,2.53176524702989
2008,4119387,48.2062015537749,21.4347425964106,19.5710429731414,3.0611593423973
2009,3950330,44.4495776302233,23.3140269293958,20.2224624271896,3.65230246586994
2010,4125059,44.7821231162997,23.9438029856058,19.5625323177196,4.05262082312035
2011,4100141,42.2773509496381,24.7232717118753,19.2726298924842,4.73108119940265
2012,4047765,37.404419475933,30.2857255794247,19.0063158310821,5.39389020854719
2013,4065965,38.8866111734853,27.6646257407528,19.405381010412,6.23485445644515
2014,4093563,38.6389558436013,27.5221121551079,19.4736712247985,6.82073294096121
2015,4078714,33.1575099406333,32.7227895851487,19.5448124090093,7.23657015422018
2016,4077573,30.3893762294384,33.8257831312891,19.7591067039143,8.37829267556951
2017,4035443,29.8811059900982,32.1575846815331,19.9470045791751,9.57141508379625
2018,4180987,27.4931971804744,35.2032426793004,19.3036715971611,9.90895212063563
2019,4130575,23.3613479963443,38.4578902453048,19.5956253064041,10.6715893065735
2020,4009766,19.2877339974452,40.5706966441433,19.6988552449195,12.4131682497183
2021,4109701,21.8507380463932,38.4259098167969,18.9707961722763,13.7158883334822
2022,4230668,19.6543666390272,39.8770359668969,18.2367654469696,15.2700708256947
2023,4183270,16.1384993079577,43.1735221489409,18.5231409877918,15.5437492679172
2024,4304038,15.1661997408015,43.328451096389,18.168473419612,17.0630696104449
2025,1395844,17.2214803373443,37.5218863999129,18.1910012866767,20.1442281515699
